0.545,0.005
0.541,0.005
0.526,0.006
0.497,0.009
0.474,0.012
0.456,0.016
0.441,0.021
0.437,0.023
0.43,0.026
0.422,0.03
0.416,0.035
0.416,0.04
0.416,0.045
0.417,0.051
0.417,0.056
0.417,0.061
0.418,0.066
0.418,0.071
0.418,0.076
0.418,0.08
0.419,0.086
0.419,0.096
0.42,0.111
0.421,0.119
0.421,0.131
0.422,0.148
0.424,0.175
0.427,0.205
0.429,0.235
0.432,0.265
0.434,0.286
0.438,0.316
0.442,0.346
0.447,0.376
0.452,0.406
0.457,0.435
0.463,0.465
0.469,0.494
0.473,0.51
0.479,0.534
0.486,0.561
0.494,0.589
0.502,0.615
0.51,0.641
0.519,0.666
0.524,0.681
0.532,0.703
0.54,0.725
0.549,0.746
0.552,0.753
0.556,0.764
0.563,0.78
0.571,0.798
0.576,0.808
0.577,0.812
0.578,0.814
0.577,0.812
0.576,0.81
0.573,0.804
