0.569,0.793
0.562,0.777
0.554,0.76
0.548,0.743
0.541,0.728
0.536,0.713
0.53,0.699
0.525,0.685
0.521,0.672
0.516,0.66
0.512,0.648
0.509,0.636
0.505,0.625
0.502,0.615
0.498,0.605
0.495,0.595
0.493,0.585
0.49,0.576
0.488,0.567
0.485,0.558
0.483,0.55
0.481,0.542
0.479,0.534
0.477,0.526
0.475,0.518
0.473,0.511
0.472,0.504
0.47,0.497
0.468,0.49
0.467,0.484
0.466,0.477
0.464,0.471
0.463,0.465
0.462,0.459
0.46,0.453
0.459,0.447
0.458,0.441
0.457,0.436
0.456,0.431
0.455,0.425
0.454,0.42
0.453,0.415
0.452,0.41
0.451,0.405
0.451,0.4
0.45,0.396
0.449,0.391
0.448,0.387
0.448,0.382
0.447,0.378
0.446,0.374
0.446,0.369
0.445,0.365
0.444,0.361
0.444,0.357
0.443,0.353
0.442,0.349
0.442,0.345
0.441,0.341
0.441,0.338
0.44,0.334
0.44,0.33
0.439,0.327
0.439,0.323
0.438,0.32
0.438,0.316
0.437,0.313
0.437,0.31
0.437,0.306
0.436,0.303
0.436,0.3
0.435,0.297
0.435,0.294
0.435,0.291
0.434,0.288
0.434,0.285
0.434,0.282
0.433,0.279
0.433,0.276
0.433,0.273
0.432,0.27
0.432,0.267
0.432,0.264
0.432,0.262
0.431,0.259
0.431,0.256
0.431,0.253
0.43,0.251
0.43,0.248
0.43,0.246
0.43,0.243
0.429,0.24
0.429,0.238
0.429,0.235
0.429,0.233
0.429,0.231
0.428,0.228
0.428,0.226
0.428,0.224
0.428,0.221
0.428,0.219
0.427,0.217
0.427,0.214
0.427,0.212
0.427,0.21
0.427,0.208
0.426,0.206
0.426,0.203
0.426,0.201
0.426,0.199
0.426,0.197
0.425,0.195
0.425,0.193
0.425,0.19
0.425,0.188
0.425,0.186
0.425,0.184
0.425,0.182
0.424,0.18
0.424,0.178
0.424,0.177
0.424,0.175
0.424,0.173
0.424,0.171
0.424,0.169
0.423,0.167
0.423,0.165
0.423,0.163
0.423,0.161
0.423,0.159
0.423,0.157
0.423,0.155
0.422,0.153
0.422,0.152
0.422,0.15
0.422,0.148
0.422,0.146
0.422,0.144
0.422,0.143
0.422,0.141
0.422,0.139
0.422,0.138
0.421,0.136
0.421,0.134
0.421,0.133
0.421,0.131
0.421,0.13
0.421,0.128
0.421,0.126
0.421,0.125
0.421,0.123
0.421,0.122
0.42,0.12
0.42,0.118
0.42,0.117
0.42,0.115
0.42,0.114
0.42,0.112
0.42,0.111
0.42,0.109
0.42,0.107
0.42,0.106
0.42,0.104
0.419,0.103
0.419,0.102
0.419,0.1
0.419,0.099
0.419,0.097
0.419,0.096
0.419,0.095
0.419,0.093
0.419,0.092
0.419,0.09
0.419,0.089
0.419,0.088
0.418,0.086
0.418,0.085
0.418,0.084
0.418,0.083
0.418,0.081
0.418,0.08
0.418,0.079
0.418,0.077
0.418,0.076
0.418,0.075
0.418,0.074
0.418,0.072
0.418,0.071
0.418,0.07
0.418,0.069
0.417,0.068
0.417,0.067
0.417,0.066
0.417,0.064
0.417,0.063
0.417,0.063
0.417,0.062
0.417,0.061
0.417,0.06
0.417,0.059
0.417,0.058
0.417,0.057
0.417,0.056
0.417,0.056
0.417,0.055
0.417,0.054
0.417,0.053
0.417,0.052
0.417,0.052
0.416,0.051
0.416,0.05
0.416,0.049
0.416,0.048
0.416,0.048
0.416,0.048
0.416,0.047
0.416,0.046
0.416,0.046
0.416,0.047
0.416,0.047
0.416,0.046
0.416,0.046
0.416,0.046
0.416,0.046
